random_state,beta_E,beta_P,beta_EP,p_value_E,p_value_P,p_value_EP,alpha,var_intercept,var_residual
65,0.001,0.001,0.001,0.4923771881351555,0.5193583625768464,0.2846759247518592,0.05,0.001828,0.009419212941440758
67,0.001,0.001,0.001,0.29583871986176624,0.5123117539265789,0.08334594459008919,0.05,0.001828,0.009419212941440758
64,0.001,0.001,0.001,0.8914096444995354,0.27127408442479317,0.5921750258817178,0.05,0.001828,0.009419212941440758
66,0.001,0.001,0.001,0.15653240927218978,0.3649961219578749,0.24761770432583674,0.05,0.001828,0.009419212941440758
68,0.001,0.001,0.001,0.3894650213787447,0.46825635943761534,0.3063633974374532,0.05,0.001828,0.009419212941440758
69,0.001,0.001,0.001,0.3754700563022977,0.1804947565206847,0.5640609796045228,0.05,0.001828,0.009419212941440758
70,0.001,0.001,0.001,0.583711369388428,0.055053540635497514,0.9791150089204449,0.05,0.001828,0.009419212941440758
71,0.001,0.001,0.001,0.9016534553809281,0.1550886551575138,0.8515316364255776,0.05,0.001828,0.009419212941440758
72,0.001,0.001,0.001,0.44588074490500185,0.20897011704729307,0.48834284875861567,0.05,0.001828,0.009419212941440758
74,0.001,0.001,0.001,0.7149561307110415,0.4072753772302793,0.4765073290224239,0.05,0.001828,0.009419212941440758
76,0.001,0.001,0.001,0.3582273490018094,0.058820950700201456,0.9469528903929989,0.05,0.001828,0.009419212941440758
77,0.001,0.001,0.001,0.8298762117991119,0.1301329412554341,0.8346151556336157,0.05,0.001828,0.009419212941440758
75,0.001,0.001,0.001,0.6131268318612492,0.06268446672483438,0.8783058359670404,0.05,0.001828,0.009419212941440758
78,0.001,0.001,0.001,0.4884046904020537,0.10900741428225426,0.6242354561880765,0.05,0.001828,0.009419212941440758
79,0.001,0.001,0.001,0.845838528811451,0.04420445741751441,0.986470740778814,0.05,0.001828,0.009419212941440758
81,0.001,0.001,0.001,0.10917084534590321,0.8976174849132701,0.49817108991447967,0.05,0.001828,0.009419212941440758
82,0.001,0.001,0.001,0.011831086731917025,0.20721397312687884,0.7352709203851668,0.05,0.001828,0.009419212941440758
83,0.001,0.001,0.001,0.04286691436786625,0.9965725355907206,0.8960012879482856,0.05,0.001828,0.009419212941440758
86,0.001,0.001,0.001,0.07521442385271257,0.5695479714769311,0.4641544918039908,0.05,0.001828,0.009419212941440758
85,0.001,0.001,0.001,0.04370717714288347,0.4689603097177458,0.7165373169752736,0.05,0.001828,0.009419212941440758
84,0.001,0.001,0.001,0.028624660927431437,0.5673411707721636,0.37086623307823685,0.05,0.001828,0.009419212941440758
87,0.001,0.001,0.001,0.005376193108381057,0.9802027310810387,0.35011746863532056,0.05,0.001828,0.009419212941440758
88,0.001,0.001,0.001,0.14812485126625516,0.7294482017621307,0.13082411391783666,0.05,0.001828,0.009419212941440758
