random_state,beta_v,beta_P,beta_vP,p_value_v,p_value_P,p_value_vP,alpha,var_intercept,var_residual
10,0.015,0.015,0.015,0.03245001470219409,0.005423491666547586,0.11718310164843265,0.05,0.001967,0.013305959951221604
9,0.015,0.015,0.015,0.20916154725096248,0.04997557198863694,0.025019874575990676,0.05,0.001967,0.013305959951221604
11,0.015,0.015,0.015,0.8906812027214496,0.024656712134202063,0.12544307521535825,0.05,0.001967,0.013305959951221604
13,0.015,0.015,0.015,0.5073532998306258,0.23848884325783015,0.05611445276163569,0.05,0.001967,0.013305959951221604
12,0.015,0.015,0.015,0.40376826306487146,0.20844014961386237,0.005701042691227946,0.05,0.001967,0.013305959951221604
16,0.015,0.015,0.015,0.11154474709619823,0.19243395593557577,0.033916162003999765,0.05,0.001967,0.013305959951221604
15,0.015,0.015,0.015,0.8250672586518785,0.058454296476200006,0.08747726206001392,0.05,0.001967,0.013305959951221604
17,0.015,0.015,0.015,0.8849141302171383,0.014845817863807837,0.20088711506661494,0.05,0.001967,0.013305959951221604
14,0.015,0.015,0.015,0.5874966271072182,0.03337578772757408,0.20227090976724982,0.05,0.001967,0.013305959951221604
18,0.015,0.015,0.015,0.9894066942568756,0.049455760607278985,0.14028426987663084,0.05,0.001967,0.013305959951221604
20,0.015,0.015,0.015,0.5629312611056648,0.08300653648080387,0.04168518572819801,0.05,0.001967,0.013305959951221604
19,0.015,0.015,0.015,0.14310594090160422,0.016492832871574877,0.39954742577595015,0.05,0.001967,0.013305959951221604
21,0.015,0.015,0.015,0.27179002807003294,0.048460737735866455,0.039739334649863296,0.05,0.001967,0.013305959951221604
23,0.015,0.015,0.015,0.9510180744042501,0.33531275935237925,0.0075926419992989784,0.05,0.001967,0.013305959951221604
27,0.015,0.015,0.015,0.15791392952102323,0.4079317523658055,0.02171078234402504,0.05,0.001967,0.013305959951221604
24,0.015,0.015,0.015,0.12174083364321624,0.10647704892900571,0.19462343834893103,0.05,0.001967,0.013305959951221604
22,0.015,0.015,0.015,0.07690584402457437,0.033174728222963246,0.06771956146353529,0.05,0.001967,0.013305959951221604
25,0.015,0.015,0.015,0.060197059844455995,0.03504562456561267,0.13358565714240156,0.05,0.001967,0.013305959951221604
