author_id,handle,N_tweets,created_at,followers_count,following_count,tweet_count,NG_unreliable_share,NG_score_mean
334245076,georgeholding,7,2011-07-12 20:03:29+00:00,1300,417,455,,
334894942,jaredhuffman,548,2011-07-13 20:49:36+00:00,15478,923,17051,0.009433962264150943,95.25471698113208
3353699651,haneefahkhaaliq,1862,2015-07-01 19:24:47+00:00,2346,37,4103,0.0,91.16666666666667
33747408,natjacksonfl10,448,2009-04-21 01:04:48+00:00,12722,0,26033,0.05714285714285714,91.04285714285714
33795371,wileynickel,1738,2009-04-21 03:31:46+00:00,47842,677,12026,0.027777777777777776,95.47222222222223
338625847,eleanor4dc,4,2011-07-19 21:16:20+00:00,490,454,215,,
3389296557,tomtiffanywi,84,2015-07-23 14:59:27+00:00,7542,746,1328,0.5,74.25
340144317,lizmathis1,317,2011-07-22 06:19:06+00:00,11013,2438,5406,0.0,91.96428571428571
34021624,amanda_adkins,428,2009-04-21 20:04:24+00:00,2580,383,1013,0.15584415584415584,85.12012987012987
34023188,gellered,1038,2009-04-21 20:09:21+00:00,49219,675,1743,0.0,100.0
34039362,drstephanyrose,290,2009-04-21 20:58:50+00:00,4530,1472,3957,0.0,91.8840579710145
3404875323,valdemings,1155,2015-08-05 23:44:16+00:00,303350,176,2109,0.014285714285714285,94.24285714285715
3432312478,scottyamoore,62,2015-08-20 01:22:33+00:00,57,16,99,1.0,48.25
3433189197,dunncampaign,15,2015-08-20 20:16:00+00:00,1903,167,306,0.0,92.5
344706931,janetimkenoh,643,2011-07-29 13:26:37+00:00,16593,2813,8525,0.3235294117647059,76.05882352941177
346559263,katieboydbritt,36,2011-08-01 13:27:12+00:00,6925,1320,822,,
346964561,colinallredtx,540,2011-08-02 02:56:31+00:00,92275,3161,4833,0.011583011583011582,96.29729729729729
34715823,debbielesko,469,2009-04-23 20:14:56+00:00,25141,1973,8100,0.44144144144144143,71.78828828828829
34815005,pieratking,1028,2009-04-24 02:18:17+00:00,1337,1993,40994,0.0,92.78289473684211
348483866,randolphbracy,40,2011-08-04 14:19:07+00:00,2528,211,283,0.0,93.4375
34851995,cbsudduth,51,2009-04-24 04:53:44+00:00,330,765,3792,0.0,100.0
348601984,justinburau,501,2011-08-04 18:04:10+00:00,620,1467,1737,0.10416666666666667,90.47916666666667
349296252,loisfrankel,69,2011-08-05 21:49:18+00:00,3106,873,1351,0.0,94.16666666666667
34959770,buckforcolorado,170,2009-04-24 15:52:58+00:00,8302,729,3128,0.1875,76.75
349841680,angelluisvega,720,2011-08-06 19:55:12+00:00,7712,6602,949,0.0,94.16666666666667
3525046823,alekskarlatos,221,2015-09-02 16:37:41+00:00,34953,428,1365,0.14285714285714285,82.61904761904762
353890966,timburchett,2635,2011-08-12 20:08:19+00:00,73678,2012,27099,0.07004470938897168,92.9634873323398
354650675,reemarasool,3641,2011-08-14 02:35:05+00:00,8666,4160,17630,0.023809523809523808,90.19642857142857
35870854,brucepoliquin,131,2009-04-27 21:39:58+00:00,3045,728,1596,0.0,90.0
359137938,timthearmymedic,170,2011-08-21 02:45:57+00:00,818,1558,1006,,
360397967,bradnamdar,364,2011-08-23 04:21:54+00:00,222,451,1593,0.25,79.375
3609064098,jodeyarrington,24,2015-09-18 21:38:09+00:00,3961,808,811,0.3333333333333333,83.16666666666667
3612420317,mike_ca05,333,2015-09-10 18:56:51+00:00,1360,332,801,0.0,93.36538461538461
361569788,maggie_hassan,1070,2011-08-25 00:19:24+00:00,32802,254,4090,0.042105263157894736,93.5578947368421
3622368202,johnfetterman,3268,2015-09-11 16:59:11+00:00,961660,4906,29769,0.03686635944700461,92.19124423963133
36424664,nikemawilliams,331,2009-04-29 17:56:53+00:00,48580,681,4591,0.0,100.0
36583020,suzivoyles,373,2009-04-30 03:28:20+00:00,1245,928,5107,0.3333333333333333,69.16666666666667
366304362,markwaynemullin,472,2011-09-01 23:10:14+00:00,11618,588,2021,0.6226415094339622,62.509433962264154
36676406,dgvaladao,49,2009-04-30 14:37:10+00:00,7364,979,730,0.0,97.5
36912523,repdavewilliams,180,2009-05-01 09:08:53+00:00,3731,635,3511,0.0,86.25
36996328,jeremykauffman,3237,2009-05-01 17:40:45+00:00,33907,2065,10696,0.05263157894736842,93.76315789473684
